date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
02-05-25,2025-05-02_77,10:32:00 IST,BUY,SENSEX 2 MAY 81000 PE,Downtrend,PE,791.54,781.54,26.367949981657674,287840,
02-05-25,2025-05-02_77,10:40:00 IST,SELL,SENSEX 2 MAY 81000 PE,Downtrend,PE,781.54,781.54,50.2659373001358,279420,Failure
02-05-25,2025-05-02_99,10:54:00 IST,BUY,SENSEX 2 MAY 80900 PE,Downtrend,PE,864.96,854.96,28.981829833154038,93260,
02-05-25,2025-05-02_99,10:55:00 IST,SELL,SENSEX 2 MAY 80900 PE,Downtrend,PE,854.96,854.96,23.05153612806363,110120,Failure
02-05-25,2025-05-02_119,11:14:00 IST,BUY,SENSEX 2 MAY 80800 PE,Downtrend,PE,848.4,838.4,39.154054185492775,96440,
02-05-25,2025-05-02_119,11:15:00 IST,SELL,SENSEX 2 MAY 80800 PE,Downtrend,PE,838.4,838.4,40.90605114183721,95440,Failure
02-05-25,2025-05-02_136,11:31:00 IST,BUY,SENSEX 2 MAY 80700 PE,Downtrend,PE,698.01,688.01,38.02583332215938,188360,
02-05-25,2025-05-02_136,11:40:00 IST,SELL,SENSEX 2 MAY 80700 PE,Downtrend,PE,688.01,688.01,35.966780224945396,187860,Failure
02-05-25,2025-05-02_214,12:49:00 IST,BUY,SENSEX 2 MAY 80300 CE,Uptrend,CE,601.46,591.46,55.90978732751226,200200,
02-05-25,2025-05-02_214,12:50:00 IST,SELL,SENSEX 2 MAY 80300 CE,Uptrend,CE,591.46,591.46,56.58448757594538,185700,Failure
