date,trade id,time ist,event,symbol,option_type,price,trailing_sl,rsi,oi,outcome
19-02-25,2025-02-19_64,10:19:00 IST,BUY,NIFTY 19 FEB 23000 CE,CE,19.19,4.19,70.7709376564635,16501650,
19-02-25,2025-02-19_64,10:25:00 IST,SELL,NIFTY 19 FEB 23000 CE,CE,15.75,5.4,69.75956045775806,16265100,Failure
19-02-25,2025-02-19_193,12:28:00 IST,BUY,NIFTY 19 FEB 23000 PE,PE,99.18,84.18,33.428860124330384,3997275,
19-02-25,2025-02-19_193,12:34:00 IST,SELL,NIFTY 19 FEB 23000 PE,PE,89.65,84.18,23.411915187954804,4027875,Failure
