date,trade id,time ist,event,symbol,option_type,price,trailing_sl,rsi,oi,outcome
06-01-25,2025-01-06_78,10:33:00 IST,BUY,NIFTY 6 JAN 23800 PE,PE,181.65,171.65,31.1336456932424,3046950,
06-01-25,2025-01-06_78,10:35:00 IST,SELL,NIFTY 6 JAN 23800 PE,PE,171.65,171.65,28.39071713498973,3070425,Failure
06-01-25,2025-01-06_97,10:52:00 IST,BUY,NIFTY 6 JAN 23850 PE,PE,220.74,210.74,19.22662654374068,1132575,
06-01-25,2025-01-06_97,10:55:00 IST,SELL,NIFTY 6 JAN 23850 PE,PE,210.74,210.74,22.48231679909935,1134975,Failure
06-01-25,2025-01-06_227,13:02:00 IST,BUY,NIFTY 6 JAN 23600 CE,CE,228.71,218.71,52.185394211924354,1622175,
06-01-25,2025-01-06_227,13:05:00 IST,SELL,NIFTY 6 JAN 23600 CE,CE,218.71,218.71,53.158236626825506,1592325,Failure
