date,trade id,time ist,event,symbol,option_type,price,trailing_sl,rsi,oi,outcome
28-01-25,2025-01-28_88,10:43:00 IST,BUY,SENSEX 28 JAN 75700 CE,CE,1631.1,1621.1,52.643855763636765,6080,
28-01-25,2025-01-28_88,10:44:00 IST,SELL,SENSEX 28 JAN 75700 CE,CE,1621.1,1621.1,46.207364396656125,6080,Failure
28-01-25,2025-01-28_108,11:03:00 IST,BUY,SENSEX 28 JAN 75900 CE,CE,1472.78,1462.78,79.6478712274554,7760,
28-01-25,2025-01-28_108,11:04:00 IST,SELL,SENSEX 28 JAN 75900 CE,CE,1462.78,1462.78,73.42663503789068,7760,Failure
