date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
20-05-25,2025-05-20_32,09:47:00 IST,BUY,SENSEX 20 MAY 82000 PE,Downtrend,PE,794.06,784.06,31.097473284254576,148060,
20-05-25,2025-05-20_32,09:50:00 IST,SELL,SENSEX 20 MAY 82000 PE,Downtrend,PE,784.06,784.06,29.004171393961897,145240,Failure
20-05-25,2025-05-20_83,10:38:00 IST,BUY,SENSEX 20 MAY 81900 CE,Uptrend,CE,835.27,825.27,73.12999947122509,62460,
20-05-25,2025-05-20_83,10:40:00 IST,SELL,SENSEX 20 MAY 81900 CE,Uptrend,CE,825.27,825.27,73.94235796124298,60400,Failure
20-05-25,2025-05-20_135,11:30:00 IST,BUY,SENSEX 20 MAY 81900 PE,Downtrend,PE,901.53,891.53,35.74269632720639,31220,
20-05-25,2025-05-20_135,11:40:00 IST,SELL,SENSEX 20 MAY 81900 PE,Downtrend,PE,949.55,949.55,39.83931014488202,37480,Success
20-05-25,2025-05-20_159,11:54:00 IST,BUY,SENSEX 20 MAY 81800 PE,Downtrend,PE,808.56,798.56,31.2808765166496,62840,
20-05-25,2025-05-20_159,11:55:00 IST,SELL,SENSEX 20 MAY 81800 PE,Downtrend,PE,798.56,798.56,36.898824745164866,46800,Failure
20-05-25,2025-05-20_221,12:56:00 IST,BUY,SENSEX 20 MAY 81700 PE,Downtrend,PE,718.82,708.82,24.69594916487793,63320,
20-05-25,2025-05-20_221,13:10:00 IST,SELL,SENSEX 20 MAY 81700 PE,Downtrend,PE,727.4,727.4,33.426269296943815,57440,Success
