date,trade id,time ist,event,symbol,option_type,price,trailing_sl,rsi,oi,outcome
10-03-25,2025-03-10_169,12:04:00 IST,BUY,NIFTY 10 MAR 22600 PE,PE,192.91,177.91,21.567492993380128,2678775,
10-03-25,2025-03-10_169,12:10:00 IST,SELL,NIFTY 10 MAR 22600 PE,PE,190.0,190.0,25.77322468982497,2824200,Failure
10-03-25,2025-03-10_303,14:18:00 IST,BUY,NIFTY 10 MAR 22550 PE,PE,127.71,112.71,32.610690608895,2538000,
10-03-25,2025-03-10_303,14:30:00 IST,SELL,NIFTY 10 MAR 22550 PE,PE,128.7,123.4,15.512285350769105,2403225,Success
