date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
08-04-25,2025-04-08_48,10:03:00 IST,BUY,SENSEX 8 APR 74000 PE,Downtrend,PE,879.0,869.0,31.957985517662067,208940,
08-04-25,2025-04-08_48,10:05:00 IST,SELL,SENSEX 8 APR 74000 PE,Downtrend,PE,869.0,869.0,31.44438106752834,217040,Failure
08-04-25,2025-04-08_109,11:04:00 IST,BUY,SENSEX 8 APR 73800 CE,Uptrend,CE,782.04,772.04,67.33560240837059,163580,
08-04-25,2025-04-08_109,11:20:00 IST,SELL,SENSEX 8 APR 73800 CE,Uptrend,CE,878.45,878.45,45.29246400579314,132640,Success
