date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
18-03-26,2026-03-18_66,10:21:00 IST,BUY,NIFTY 18 MAR 23200 CE,,CE,61.61,51.61,66.26929025742331,3241745,
18-03-26,2026-03-18_66,11:15:00 IST,SELL,NIFTY 18 MAR 23200 CE,,CE,61.3875,57.45,63.95128718953189,3209960,Failure
18-03-26,2026-03-18_219,12:54:00 IST,BUY,NIFTY 18 MAR 23250 CE,,CE,59.83,49.83,58.02519542473749,3220035,
18-03-26,2026-03-18_219,13:06:00 IST,SELL,NIFTY 18 MAR 23250 CE,,CE,54.7625,49.83,61.55316851386968,3160495,Failure
