date,trade id,time ist,event,symbol,option_type,price,trailing_sl,rsi,oi,outcome
04-07-25,2025-07-04_93,10:48:00 IST,BUY,SENSEX 4 JUL 83300 PE,PE,346.23,336.23,45.72210182002773,733700,
04-07-25,2025-07-04_93,10:55:00 IST,SELL,SENSEX 4 JUL 83300 PE,PE,380.55,380.55,51.35933921619221,733700,Success
04-07-25,2025-07-04_148,11:43:00 IST,BUY,SENSEX 4 JUL 83200 PE,PE,378.09,368.09,20.72495029239657,447600,
04-07-25,2025-07-04_148,11:55:00 IST,SELL,SENSEX 4 JUL 83200 PE,PE,368.09,368.09,36.71087564275811,460720,Failure
