Candle_Mode,Total_Days,Total_Trades,Wins,Losses,Win_Rate_Pct,Avg_Daily_PnL_Pct,BUY Total Trades,BUY Success %,PUT Total Trades,PUT Success %
NORMAL,1,0,0,0,0,0,0 (0 win 0 loss),0.0,0 (0 win 0 loss),0.0
HEIKIN_ASHI,1,0,0,0,0,0,0 (0 win 0 loss),0.0,0 (0 win 0 loss),0.0
VOLUME,1,0,0,0,0,0,0 (0 win 0 loss),0.0,0 (0 win 0 loss),0.0
