date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
13-02-25,2025-02-13_31,09:46:00 IST,BUY,NIFTY 13 FEB 23050 CE,SEDA,CE,47.38,37.38,63.42424098145834,1836975,
13-02-25,2025-02-13_31,09:52:00 IST,SELL,NIFTY 13 FEB 23050 CE,SEDA,CE,48.225,37.38,66.38869360436233,2043825,Success
13-02-25,2025-02-13_91,10:46:00 IST,BUY,NIFTY 13 FEB 22900 CE,SEDA,CE,54.14,44.14,62.391273421785634,885225,
13-02-25,2025-02-13_91,10:52:00 IST,SELL,NIFTY 13 FEB 22900 CE,SEDA,CE,50.15,44.14,50.70573312794113,1304475,Failure
13-02-25,2025-02-13_131,11:26:00 IST,BUY,NIFTY 13 FEB 22850 CE,SEDA,CE,52.41,42.41,56.17074648247977,745350,
13-02-25,2025-02-13_131,11:32:00 IST,SELL,NIFTY 13 FEB 22850 CE,SEDA,CE,51.0375,42.41,70.87227027367234,773850,Failure
13-02-25,2025-02-13_258,13:33:00 IST,BUY,NIFTY 13 FEB 22850 PE,SEDA,PE,39.91,29.91,25.162590019675264,1841025,
13-02-25,2025-02-13_258,13:39:00 IST,SELL,NIFTY 13 FEB 22850 PE,SEDA,PE,39.6375,29.91,16.86881229011101,1870200,Failure
13-02-25,2025-02-13_275,13:50:00 IST,BUY,NIFTY 13 FEB 22800 PE,SEDA,PE,40.3,30.3,23.649034785013768,5110650,
13-02-25,2025-02-13_275,13:56:00 IST,SELL,NIFTY 13 FEB 22800 PE,SEDA,PE,40.625,30.3,35.580883774026304,4952100,Success
