date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
26-03-25,2025-03-26_30,09:45:00 IST,BUY,NIFTY 26 MAR 23500 PE,SEDA,PE,8.12,-1.88,35.91999659140829,20136075,
26-03-25,2025-03-26_30,09:51:00 IST,SELL,NIFTY 26 MAR 23500 PE,SEDA,PE,9.825,-1.88,43.84006825811492,20753325,Success
26-03-25,2025-03-26_52,10:07:00 IST,BUY,NIFTY 26 MAR 23600 PE,SEDA,PE,9.94,-0.06,44.564605521579864,9732075,
26-03-25,2025-03-26_52,10:13:00 IST,SELL,NIFTY 26 MAR 23600 PE,SEDA,PE,8.4375,-0.06,55.62943225586517,11144550,Failure
