date,trade id,time ist,event,symbol,option_type,price,trailing_sl,rsi,oi,outcome
01-08-25,2025-08-01_67,10:22:00 IST,BUY,NIFTY 1 AUG 24600 CE,CE,249.92,239.92,74.2382922378759,1063650,
01-08-25,2025-08-01_67,10:25:00 IST,SELL,NIFTY 1 AUG 24600 CE,CE,239.92,239.92,60.049003554620775,1059750,Failure
01-08-25,2025-08-01_133,11:28:00 IST,BUY,NIFTY 1 AUG 24800 PE,PE,257.45,247.45,38.75519675171696,2949900,
01-08-25,2025-08-01_133,15:12:00 IST,SELL,NIFTY 1 AUG 24800 PE,PE,294.0,286.45,15.723449755514977,2768625,Success
