date,trade id,time ist,event,symbol,option_type,price,trailing_sl,rsi,oi,outcome
06-09-25,2025-06-09_90,10:45:00 IST,BUY,NIFTY 9 JUN 24650 CE,CE,498.08,398.46,66.06141178937611,485925,
06-09-25,2025-06-09_90,15:12:00 IST,SELL,NIFTY 9 JUN 24650 CE,CE,493.15,398.46,51.0415964063191,485925,Failure
