date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
08-04-25,2025-04-08_54,10:09:00 IST,BUY,NIFTY 8 APR 22450 PE,,PE,80.9,70.9,36.545217799369844,4436325,
08-04-25,2025-04-08_54,10:10:00 IST,SELL,NIFTY 8 APR 22450 PE,,PE,70.9,70.9,34.85242536807256,4436325,Failure
08-04-25,2025-04-08_83,10:38:00 IST,BUY,NIFTY 8 APR 22400 PE,,PE,52.02,42.02,22.495657618319484,18497325,
08-04-25,2025-04-08_83,10:41:00 IST,SELL,NIFTY 8 APR 22400 PE,,PE,42.02,42.02,25.240753746381742,18249975,Failure
08-04-25,2025-04-08_116,11:11:00 IST,BUY,NIFTY 8 APR 22350 CE,,CE,32.02,22.02,73.70198097171647,7904700,
08-04-25,2025-04-08_116,11:26:00 IST,SELL,NIFTY 8 APR 22350 CE,,CE,47.45,47.45,44.410674260821146,7433400,Success
08-04-25,2025-04-08_172,12:07:00 IST,BUY,NIFTY 8 APR 22400 CE,,CE,22.07,12.07,59.11468057590974,29866725,
08-04-25,2025-04-08_172,12:13:00 IST,SELL,NIFTY 8 APR 22400 CE,,CE,23.3,15.55,69.94682896471296,30061575,Success
