test_date,symbol,strategy,option_type,strike,score_pct,entry_time_ist,exit_time_ist,entry_ltp,exit_ltp,trailing_sl,pnl_pct,pnl_pts,pnl_rs,outcome,exit_reason
2025-01-28,NIFTY 28 JAN 23100 CE,,CE,23100,82.0,11:12:00 IST,11:14:00 IST,158.52,148.52,148.52,-6.31,-10.0,-750.0,Failure,stop_loss_hit
2025-01-28,NIFTY 28 JAN 23150 CE,,CE,23150,100.0,14:02:00 IST,14:08:00 IST,151.65,143.6,142.8,-5.31,-8.05,-603.75,Failure,6_min_momentum_failed
