date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
03-03-25,2025-03-03_109,11:04:00 IST,BUY,NIFTY 3 MAR 22100 PE,,PE,99.74,89.74,34.59819891372251,7007850,
03-03-25,2025-03-03_109,11:10:00 IST,SELL,NIFTY 3 MAR 22100 PE,,PE,97.5,89.74,42.30888772291512,7637175,Failure
03-03-25,2025-03-03_179,12:14:00 IST,BUY,NIFTY 3 MAR 22050 CE,,CE,101.0,91.0,61.8634174511072,3892800,
03-03-25,2025-03-03_179,12:20:00 IST,SELL,NIFTY 3 MAR 22050 CE,,CE,102.2,92.0,67.03312073607569,3872775,Success
