date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
20-03-25,2025-03-20_168,12:03:00 IST,BUY,NIFTY 20 MAR 23350 CE,,CE,37.33,27.33,67.14580494081247,3625200,
20-03-25,2025-03-20_168,12:09:00 IST,SELL,NIFTY 20 MAR 23350 CE,,CE,38.7,28.35,62.98732352535979,3528450,Success
20-03-25,2025-03-20_285,14:00:00 IST,BUY,NIFTY 20 MAR 23300 CE,,CE,39.25,29.25,75.67379612745124,5251500,
20-03-25,2025-03-20_285,14:06:00 IST,SELL,NIFTY 20 MAR 23300 CE,,CE,41.525,31.04,79.49811295392888,5231325,Success
