date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
14-01-25,2025-01-14_85,10:40:00 IST,BUY,NIFTY 14 JAN 23250 CE,,CE,17.61,7.61,66.62866166561027,9815025,
14-01-25,2025-01-14_85,11:02:00 IST,SELL,NIFTY 14 JAN 23250 CE,,CE,20.11,20.11,83.94227831163242,7319400,Success
14-01-25,2025-01-14_138,11:33:00 IST,BUY,NIFTY 14 JAN 23250 PE,,PE,19.08,9.08,31.981680041881432,9533325,
14-01-25,2025-01-14_138,11:39:00 IST,SELL,NIFTY 14 JAN 23250 PE,,PE,19.075,14.31,29.81571960927029,8062050,Failure
