date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
21-04-25,2025-04-21_98,10:53:00 IST,BUY,NIFTY 21 APR 24200 CE,,CE,110.75,100.75,68.73480546872058,12083550,
21-04-25,2025-04-21_98,10:59:00 IST,SELL,NIFTY 21 APR 24200 CE,,CE,113.15,101.3,70.16776652916839,11716275,Success
21-04-25,2025-04-21_247,13:22:00 IST,BUY,NIFTY 21 APR 24200 PE,,PE,94.28,84.28,27.444275226655577,7664325,
21-04-25,2025-04-21_247,13:41:00 IST,SELL,NIFTY 21 APR 24200 PE,,PE,99.0,99.0,36.629787964677845,7590375,Success
