date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
31-01-25,2025-01-31_32,09:47:00 IST,BUY,NIFTY 31 JAN 23550 CE,,CE,67.42,57.42,78.87307726134776,2169975,
31-01-25,2025-01-31_32,09:53:00 IST,SELL,NIFTY 31 JAN 23550 CE,,CE,66.9125,57.42,81.70742740071088,2145975,Failure
31-01-25,2025-01-31_158,11:53:00 IST,BUY,NIFTY 31 JAN 23400 CE,,CE,71.89,61.89,61.76494925009112,2669775,
31-01-25,2025-01-31_158,11:55:00 IST,SELL,NIFTY 31 JAN 23400 CE,,CE,61.89,61.89,63.22486639219385,2880825,Failure
31-01-25,2025-01-31_179,12:14:00 IST,BUY,NIFTY 31 JAN 23500 CE,,CE,55.18,45.18,75.09917205552213,7252650,
31-01-25,2025-01-31_179,12:19:00 IST,SELL,NIFTY 31 JAN 23500 CE,,CE,45.18,45.18,61.800280741038456,7560525,Failure
31-01-25,2025-01-31_240,13:15:00 IST,BUY,NIFTY 31 JAN 23350 CE,,CE,52.13,42.13,73.3819816918928,1467300,
31-01-25,2025-01-31_240,13:21:00 IST,SELL,NIFTY 31 JAN 23350 CE,,CE,51.2375,42.13,77.03975726601604,1581675,Failure
31-01-25,2025-01-31_280,13:55:00 IST,BUY,NIFTY 31 JAN 23500 PE,,PE,42.33,32.33,33.322389939112924,6066300,
31-01-25,2025-01-31_280,14:01:00 IST,SELL,NIFTY 31 JAN 23500 PE,,PE,40.225,32.33,22.539347591080784,6200100,Failure
