symbol,time_ist,datetime_ist,option_ltp,rsi_1m,trailing_sl,action,reason
NIFTY 7 JAN 23700 PE,09:57:00 IST,07-01-25 09:57:00 IST,25.3375,30.153277185399105,15.59,HOLD,no_exit_condition_met
NIFTY 7 JAN 23700 PE,09:58:00 IST,07-01-25 09:58:00 IST,25.3375,29.55268359026374,15.59,EXIT,2_min_profit_check_failed
NIFTY 7 JAN 23650 CE,10:22:00 IST,07-01-25 10:22:00 IST,22.15,58.83819063399205,12.37,HOLD,no_exit_condition_met
NIFTY 7 JAN 23650 CE,10:23:00 IST,07-01-25 10:23:00 IST,22.15,61.88370325898537,12.37,EXIT,2_min_profit_check_failed
NIFTY 7 JAN 23500 CE,12:52:00 IST,07-01-25 12:52:00 IST,22.1625,65.89939440478685,12.38,HOLD,no_exit_condition_met
NIFTY 7 JAN 23500 CE,12:53:00 IST,07-01-25 12:53:00 IST,22.1625,61.53389056251013,12.38,EXIT,2_min_profit_check_failed
NIFTY 7 JAN 23650 PE,13:52:00 IST,07-01-25 13:52:00 IST,20.4375,36.1273115120579,10.64,HOLD,no_exit_condition_met
NIFTY 7 JAN 23650 PE,13:53:00 IST,07-01-25 13:53:00 IST,20.4375,32.09513557612058,10.64,EXIT,2_min_profit_check_failed
