date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
10-03-25,2025-03-10_203,12:38:00 IST,BUY,NIFTY 10 MAR 22450 CE,,CE,30.63,20.63,58.47560295612875,4441500,
10-03-25,2025-03-10_203,12:44:00 IST,SELL,NIFTY 10 MAR 22450 CE,,CE,31.375,22.1,38.978898964428375,4386825,Success
10-03-25,2025-03-10_280,13:55:00 IST,BUY,NIFTY 10 MAR 22500 PE,,PE,27.96,17.96,32.17657393220249,7760850,
10-03-25,2025-03-10_280,14:01:00 IST,SELL,NIFTY 10 MAR 22500 PE,,PE,26.6875,18.0,39.04659704083104,8091675,Failure
