date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
13-02-25,2025-02-13_137,11:32:00 IST,BUY,NIFTY 13 FEB 22850 CE,,CE,212.81,202.81,62.71358677746945,799800,
13-02-25,2025-02-13_137,11:38:00 IST,SELL,NIFTY 13 FEB 22850 CE,,CE,208.95,207.7,61.351779984606495,842625,Failure
13-02-25,2025-02-13_163,11:58:00 IST,BUY,NIFTY 13 FEB 22900 CE,,CE,206.04,196.04,58.28739820058487,2915550,
13-02-25,2025-02-13_163,12:01:00 IST,SELL,NIFTY 13 FEB 22900 CE,,CE,196.04,196.04,58.80976255065837,2955000,Failure
