date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
27-03-25,2025-03-27_111,11:06:00 IST,BUY,NIFTY 27 MAR 23600 CE,,CE,43.81,33.81,65.12526519699645,5473875,
27-03-25,2025-03-27_111,11:12:00 IST,SELL,NIFTY 27 MAR 23600 CE,,CE,42.475,34.4,60.93126762972333,5375400,Failure
27-03-25,2025-03-27_151,11:46:00 IST,BUY,NIFTY 27 MAR 23550 CE,,CE,42.21,32.21,72.39519241222888,2165100,
27-03-25,2025-03-27_151,11:52:00 IST,SELL,NIFTY 27 MAR 23550 CE,,CE,42.975,32.59,64.30429915317653,2215950,Success
27-03-25,2025-03-27_170,12:05:00 IST,BUY,NIFTY 27 MAR 23600 PE,,PE,31.98,21.98,28.05106059873374,6331725,
27-03-25,2025-03-27_170,12:11:00 IST,SELL,NIFTY 27 MAR 23600 PE,,PE,30.325,21.99,48.32198749148814,6407025,Failure
27-03-25,2025-03-27_199,12:34:00 IST,BUY,NIFTY 27 MAR 23500 PE,,PE,29.39,19.39,28.572235203978366,7605525,
27-03-25,2025-03-27_199,12:40:00 IST,SELL,NIFTY 27 MAR 23500 PE,,PE,28.6875,22.58,58.734194065897036,7182300,Failure
27-03-25,2025-03-27_228,13:03:00 IST,BUY,NIFTY 27 MAR 23500 CE,,CE,36.3,26.3,62.10688389886146,5011875,
27-03-25,2025-03-27_228,13:09:00 IST,SELL,NIFTY 27 MAR 23500 CE,,CE,35.8875,26.3,48.267975970334206,5425500,Failure
