test_date,symbol,strategy,option_type,strike,score_pct,entry_time_ist,exit_time_ist,entry_ltp,exit_ltp,trailing_sl,pnl_pct,outcome,exit_reason
2025-03-24,NIFTY 24 MAR 23800 CE,,CE,23800,100,10:27:00 IST,10:31:00 IST,162.61,152.61,152.61,-6.15,Failure,stop_loss_hit
2025-03-24,NIFTY 24 MAR 23700 CE,,CE,23700,100,11:01:00 IST,11:02:00 IST,146.1,136.1,136.1,-6.84,Failure,stop_loss_hit
2025-03-24,NIFTY 24 MAR 23650 CE,,CE,23650,100,11:30:00 IST,11:39:00 IST,151.65,154.15,154.15,1.65,Success,stop_loss_hit
