symbol,time_ist,datetime_ist,option_ltp,rsi_1m,trailing_sl,action,reason
NIFTY 2 JAN 24050 CE,10:12:00 IST,02-01-25 10:12:00 IST,44.1,60.573708861598504,34.54,HOLD,no_exit_condition_met
NIFTY 2 JAN 24050 CE,10:13:00 IST,02-01-25 10:13:00 IST,44.1,67.77697028635215,34.54,EXIT,2_min_profit_check_failed
NIFTY 2 JAN 24000 CE,10:57:00 IST,02-01-25 10:57:00 IST,41.2,73.4232660368371,31.61,HOLD,no_exit_condition_met
NIFTY 2 JAN 24000 CE,10:58:00 IST,02-01-25 10:58:00 IST,41.2,77.46736449911228,31.61,EXIT,2_min_profit_check_failed
NIFTY 2 JAN 24100 CE,11:32:00 IST,02-01-25 11:32:00 IST,41.6,71.97345283862697,32.02,HOLD,no_exit_condition_met
NIFTY 2 JAN 24100 CE,11:33:00 IST,02-01-25 11:33:00 IST,41.6,72.02949229674823,32.02,EXIT,2_min_profit_check_failed
