date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
03-01-25,2025-01-03_120,11:15:00 IST,BUY,NIFTY 3 JAN 24050 CE,,CE,173.52,163.52,72.20618332273874,2897100,
03-01-25,2025-01-03_120,11:28:00 IST,SELL,NIFTY 3 JAN 24050 CE,,CE,196.1,196.1,77.63913660826414,2496525,Success
03-01-25,2025-01-03_161,11:56:00 IST,BUY,NIFTY 3 JAN 24100 CE,,CE,174.53,164.53,54.359355644077375,6087750,
03-01-25,2025-01-03_161,12:03:00 IST,SELL,NIFTY 3 JAN 24100 CE,,CE,177.03,177.03,61.27663941029565,6232800,Success
03-01-25,2025-01-03_284,13:59:00 IST,BUY,NIFTY 3 JAN 24050 PE,,PE,169.48,159.48,28.74696792136274,2383950,
03-01-25,2025-01-03_284,14:06:00 IST,SELL,NIFTY 3 JAN 24050 PE,,PE,171.98,171.98,27.471952603000673,2360025,Success
