date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
17-01-25,2025-01-17_78,10:33:00 IST,BUY,NIFTY 17 JAN 23250 CE,,CE,45.93,35.93,76.88302988720288,2054100,
17-01-25,2025-01-17_78,10:39:00 IST,SELL,NIFTY 17 JAN 23250 CE,,CE,42.8125,35.93,41.561590622534204,2037375,Failure
17-01-25,2025-01-17_96,10:51:00 IST,BUY,NIFTY 17 JAN 23150 PE,,PE,43.88,33.88,15.081333757311157,1785600,
17-01-25,2025-01-17_96,11:09:00 IST,SELL,NIFTY 17 JAN 23150 PE,,PE,46.38,46.38,33.46661404511745,1844400,Success
17-01-25,2025-01-17_140,11:35:00 IST,BUY,NIFTY 17 JAN 23150 CE,,CE,51.37,41.37,70.24758407716274,2026350,
17-01-25,2025-01-17_140,11:41:00 IST,SELL,NIFTY 17 JAN 23150 CE,,CE,49.9875,41.37,54.72160250419549,1923150,Failure
17-01-25,2025-01-17_167,12:02:00 IST,BUY,NIFTY 17 JAN 23200 CE,,CE,54.73,44.73,77.83938867997426,5531550,
17-01-25,2025-01-17_167,12:08:00 IST,SELL,NIFTY 17 JAN 23200 CE,,CE,52.9125,44.73,65.00903053820619,5267850,Failure
17-01-25,2025-01-17_244,13:19:00 IST,BUY,NIFTY 17 JAN 23200 PE,,PE,45.39,35.39,33.957344521126984,5573550,
17-01-25,2025-01-17_244,13:25:00 IST,SELL,NIFTY 17 JAN 23200 PE,,PE,47.125,36.66,25.18775883144916,5561775,Success
