test_date,symbol,option_type,strike,score_pct,entry_time_ist,exit_time_ist,entry_ltp,exit_ltp,trailing_sl,pnl_pct,outcome,exit_reason
2025-07-03,SENSEX 3 JUL 83800 PE General Buy / Sell,PE,83800,95.0,11:40:00 IST,11:50:00 IST,836.28,826.28,826.28,-1.2,Failure,stop_loss_hit
2025-07-03,SENSEX 3 JUL 83700 PE General Buy / Sell,PE,83700,85.0,13:52:00 IST,14:00:00 IST,492.12,482.12,482.12,-2.03,Failure,stop_loss_hit
