start_Time_IST,open,high,low,close,volume
2026-05-22 09:15:00+05:30,23671.2,23710.8,23671.0,23692.65,3631229.0
2026-05-22 09:16:00+05:30,23691.95,23697.15,23679.05,23685.0,2384834.0
2026-05-22 09:17:00+05:30,23683.8,23696.15,23675.35,23686.7,1963785.0
2026-05-22 09:18:00+05:30,23687.8,23697.8,23680.6,23681.95,1683798.0
2026-05-22 09:19:00+05:30,23682.25,23696.05,23681.3,23693.5,1843772.0
2026-05-22 09:20:00+05:30,23692.85,23717.65,23692.85,23707.1,1908847.0
2026-05-22 09:21:00+05:30,23706.95,23734.9,23706.95,23732.55,1672135.0
2026-05-22 09:22:00+05:30,23731.1,23750.4,23731.1,23749.95,1640107.0
2026-05-22 09:23:00+05:30,23749.75,23750.05,23735.1,23741.5,1427601.0
2026-05-22 09:24:00+05:30,23742.7,23756.65,23740.6,23752.85,1374995.0
2026-05-22 09:25:00+05:30,23753.25,23756.25,23737.75,23738.45,1169547.0
2026-05-22 09:26:00+05:30,23738.3,23751.6,23737.5,23737.5,1065728.0
2026-05-22 09:27:00+05:30,23736.8,23750.65,23736.0,23750.35,788643.0
2026-05-22 09:28:00+05:30,23750.0,23752.35,23736.05,23737.15,1005771.0
2026-05-22 09:29:00+05:30,23737.55,23745.1,23731.2,23738.6,1123185.0
2026-05-22 09:30:00+05:30,23738.6,23752.05,23736.75,23749.75,1187536.0
2026-05-22 09:31:00+05:30,23750.25,23751.7,23745.9,23748.7,1243983.0
2026-05-22 09:32:00+05:30,23748.5,23750.95,23738.55,23738.75,1072879.0
2026-05-22 09:33:00+05:30,23738.45,23744.2,23733.1,23743.25,1198077.0
2026-05-22 09:34:00+05:30,23743.5,23764.85,23743.5,23762.75,1273913.0
2026-05-22 09:35:00+05:30,23763.65,23778.6,23762.1,23770.65,1265716.0
2026-05-22 09:36:00+05:30,23769.8,23771.9,23751.0,23751.05,790957.0
2026-05-22 09:37:00+05:30,23752.3,23763.15,23749.55,23756.7,916598.0
2026-05-22 09:38:00+05:30,23756.5,23762.8,23751.9,23759.9,785153.0
2026-05-22 09:39:00+05:30,23759.4,23761.75,23754.55,23755.85,880312.0
2026-05-22 09:40:00+05:30,23755.5,23756.6,23740.95,23741.2,676767.0
2026-05-22 09:41:00+05:30,23741.0,23742.6,23731.8,23738.45,869374.0
2026-05-22 09:42:00+05:30,23737.8,23742.1,23733.3,23735.6,725931.0
2026-05-22 09:43:00+05:30,23735.7,23757.0,23729.55,23757.0,948753.0
2026-05-22 09:44:00+05:30,23757.0,23765.4,23752.1,23752.95,661564.0
2026-05-22 09:45:00+05:30,23753.3,23756.7,23748.15,23752.5,748017.0
2026-05-22 09:46:00+05:30,23751.9,23755.55,23745.7,23752.2,776253.0
2026-05-22 09:47:00+05:30,23751.95,23761.2,23748.15,23758.9,673722.0
2026-05-22 09:48:00+05:30,23758.15,23761.1,23751.4,23753.9,717478.0
2026-05-22 09:49:00+05:30,23753.55,23755.15,23739.2,23740.8,611137.0
2026-05-22 09:50:00+05:30,23740.95,23756.2,23740.55,23754.3,1775239.0
2026-05-22 09:51:00+05:30,23753.3,23767.85,23753.3,23767.45,756402.0
2026-05-22 09:52:00+05:30,23768.3,23780.15,23766.45,23779.8,898654.0
2026-05-22 09:53:00+05:30,23779.8,23784.75,23772.45,23775.3,723205.0
2026-05-22 09:54:00+05:30,23775.8,23779.1,23766.1,23774.1,674642.0
2026-05-22 09:55:00+05:30,23774.35,23779.65,23771.75,23771.75,592839.0
2026-05-22 09:56:00+05:30,23772.0,23775.9,23763.85,23774.3,588727.0
2026-05-22 09:57:00+05:30,23773.8,23787.1,23773.55,23785.7,649034.0
2026-05-22 09:58:00+05:30,23785.7,23788.8,23783.7,23785.75,731487.0
2026-05-22 09:59:00+05:30,23785.8,23787.85,23778.7,23779.65,595134.0
2026-05-22 10:00:00+05:30,23778.6,23780.9,23770.75,23772.6,794747.0
2026-05-22 10:01:00+05:30,23772.1,23774.5,23769.65,23770.0,639266.0
2026-05-22 10:02:00+05:30,23769.6,23779.95,23769.55,23775.8,1275720.0
2026-05-22 10:03:00+05:30,23775.6,23781.35,23772.15,23772.95,669605.0
2026-05-22 10:04:00+05:30,23773.3,23774.7,23767.05,23767.3,550868.0
2026-05-22 10:05:00+05:30,23766.5,23769.35,23759.4,23766.3,1038591.0
2026-05-22 10:06:00+05:30,23766.55,23771.45,23764.45,23770.65,862439.0
2026-05-22 10:07:00+05:30,23770.1,23773.7,23769.0,23770.9,791290.0
2026-05-22 10:08:00+05:30,23770.4,23784.75,23770.4,23784.75,1117972.0
2026-05-22 10:09:00+05:30,23784.6,23787.5,23781.9,23785.5,883036.0
2026-05-22 10:10:00+05:30,23785.15,23795.1,23785.15,23791.75,1181839.0
2026-05-22 10:11:00+05:30,23792.0,23796.0,23787.2,23794.35,857704.0
2026-05-22 10:12:00+05:30,23793.95,23800.15,23792.7,23793.8,1406165.0
2026-05-22 10:13:00+05:30,23793.4,23796.85,23790.55,23792.15,890760.0
2026-05-22 10:14:00+05:30,23792.45,23794.1,23789.15,23791.7,805521.0
2026-05-22 10:15:00+05:30,23791.65,23795.4,23787.05,23790.15,1127419.0
2026-05-22 10:16:00+05:30,23790.0,23790.85,23773.1,23778.95,1171419.0
2026-05-22 10:17:00+05:30,23779.45,23786.15,23775.55,23776.35,1377520.0
2026-05-22 10:18:00+05:30,23776.25,23777.15,23766.0,23766.25,864191.0
2026-05-22 10:19:00+05:30,23765.75,23767.75,23759.9,23764.1,716454.0
2026-05-22 10:20:00+05:30,23763.5,23768.55,23762.9,23767.15,993363.0
2026-05-22 10:21:00+05:30,23767.05,23772.35,23767.05,23768.65,847182.0
2026-05-22 10:22:00+05:30,23768.45,23782.15,23768.45,23780.05,1202702.0
2026-05-22 10:23:00+05:30,23780.55,23785.4,23778.95,23779.55,1082243.0
2026-05-22 10:24:00+05:30,23779.6,23782.35,23765.2,23765.65,1269220.0
2026-05-22 10:25:00+05:30,23765.45,23776.1,23762.1,23773.8,1040752.0
2026-05-22 10:26:00+05:30,23774.05,23775.95,23763.95,23766.55,1073810.0
2026-05-22 10:27:00+05:30,23766.35,23771.9,23764.9,23767.25,743448.0
2026-05-22 10:28:00+05:30,23767.5,23769.65,23763.55,23767.05,812373.0
2026-05-22 10:29:00+05:30,23767.25,23769.6,23759.65,23761.45,976657.0
2026-05-22 10:30:00+05:30,23761.35,23769.1,23761.35,23764.3,720500.0
2026-05-22 10:31:00+05:30,23764.75,23771.2,23764.2,23766.4,742099.0
