timestamp,alert_type,symbol,oi,prev_oi,oi_change_pct,oi_delta,volume_1m,volume_ema_20,cross_direction,message
2026-06-04 14:02:53,Vol,NIFTY 09 JUN 23400 PUT,5894460,3773640,56.2,2120820,136904625,,,"periodic record vol=136,904,625 oi=5,894,460 (OI chg +2,120,820 +56.2%)"
2026-06-04 14:02:55,Vol,NIFTY 09 JUN 23450 PUT,1791595,855920,109.3,935675,54978365,,,"periodic record vol=54,978,365 oi=1,791,595 (OI chg +935,675 +109.3%)"
2026-06-04 14:02:58,Vol,NIFTY 09 JUN 23500 PUT,4313595,4753060,-9.2,-439465,56544345,,,"periodic record vol=56,544,345 oi=4,313,595 (OI chg -439,465 -9.2%)"
2026-06-04 14:03:21,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,358,435 | New PE Vol: +793,910"
2026-06-04 14:04:24,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,136,655 | New PE Vol: +1,009,710"
2026-06-04 14:05:28,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,134,965 | New PE Vol: +1,004,965"
2026-06-04 14:06:33,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,274,715 | New PE Vol: +941,135"
2026-06-04 14:07:38,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +692,055 | New PE Vol: +543,205"
2026-06-04 14:07:51,Vol,NIFTY 09 JUN 23400 CALL,7470320,2736955,172.9,4733365,139154405,,,"periodic record vol=139,154,405 oi=7,470,320 (OI chg +4,733,365 +172.9%)"
2026-06-04 14:07:53,Vol,NIFTY 09 JUN 23350 CALL,3056820,886210,244.9,2170610,65818025,,,"periodic record vol=65,818,025 oi=3,056,820 (OI chg +2,170,610 +244.9%)"
2026-06-04 14:07:56,Vol,NIFTY 09 JUN 23300 CALL,5606250,4444960,26.1,1161290,74571770,,,"periodic record vol=74,571,770 oi=5,606,250 (OI chg +1,161,290 +26.1%)"
2026-06-04 14:07:58,Vol,NIFTY 09 JUN 23400 PUT,6147050,3773640,62.9,2373410,139308780,,,"periodic record vol=139,308,780 oi=6,147,050 (OI chg +2,373,410 +62.9%)"
2026-06-04 14:08:01,Vol,NIFTY 09 JUN 23450 PUT,1913015,855920,123.5,1057095,55841435,,,"periodic record vol=55,841,435 oi=1,913,015 (OI chg +1,057,095 +123.5%)"
2026-06-04 14:08:03,Vol,NIFTY 09 JUN 23500 PUT,4394260,4753060,-7.5,-358800,57337995,,,"periodic record vol=57,337,995 oi=4,394,260 (OI chg -358,800 -7.5%)"
2026-06-04 14:08:48,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,336,400 | New PE Vol: +1,349,465"
2026-06-04 14:09:49,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +732,030 | New PE Vol: +703,885"
2026-06-04 14:10:11,Reject,NIFTY 09 JUN 23550 PUT,615810,699725,-12.0,-83915,,,BELOW,"OI poll change +12.0% vs last scan (OI chg -83,915 | oi=615,810, was=699,725)"
2026-06-04 14:10:44,Reject,NIFTY 09 JUN 23450 CALL,3374735,3558815,-5.2,-184080,,,BELOW,"OI poll change +5.2% vs last scan (OI chg -184,080 | oi=3,374,735, was=3,558,815)"
2026-06-04 14:10:56,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +2,352,090 | New PE Vol: +1,624,675"
2026-06-04 14:12:00,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +641,810 | New PE Vol: +719,225"
2026-06-04 14:13:00,Vol,NIFTY 09 JUN 23400 CALL,7073690,2736955,158.5,4336735,142308465,,,"periodic record vol=142,308,465 oi=7,073,690 (OI chg +4,336,735 +158.5%)"
2026-06-04 14:13:01,Vol,NIFTY 09 JUN 23350 CALL,2875145,886210,224.4,1988935,66958255,,,"periodic record vol=66,958,255 oi=2,875,145 (OI chg +1,988,935 +224.4%)"
2026-06-04 14:13:03,Vol,NIFTY 09 JUN 23300 CALL,5422300,4444960,22.0,977340,75694775,,,"periodic record vol=75,694,775 oi=5,422,300 (OI chg +977,340 +22.0%)"
2026-06-04 14:13:04,Vol,NIFTY 09 JUN 23400 PUT,6294600,3773640,66.8,2520960,141942515,,,"periodic record vol=141,942,515 oi=6,294,600 (OI chg +2,520,960 +66.8%)"
2026-06-04 14:13:05,Vol,NIFTY 09 JUN 23450 PUT,2013830,855920,135.3,1157910,57140070,,,"periodic record vol=57,140,070 oi=2,013,830 (OI chg +1,157,910 +135.3%)"
2026-06-04 14:13:07,Vol,NIFTY 09 JUN 23500 PUT,4458480,4753060,-6.2,-294580,58244355,,,"periodic record vol=58,244,355 oi=4,458,480 (OI chg -294,580 -6.2%)"
2026-06-04 14:13:09,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +571,220 | New PE Vol: +610,155"
2026-06-04 14:14:09,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +517,205 | New PE Vol: +616,980"
2026-06-04 14:15:11,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +658,710 | New PE Vol: +706,225"
2026-06-04 14:16:13,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,301,495 | New PE Vol: +1,234,675"
2026-06-04 14:17:16,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +645,775 | New PE Vol: +593,190"
2026-06-04 14:18:10,Vol,NIFTY 09 JUN 23400 CALL,6885190,2736955,151.6,4148235,144281995,,,"periodic record vol=144,281,995 oi=6,885,190 (OI chg +4,148,235 +151.6%)"
2026-06-04 14:18:12,Vol,NIFTY 09 JUN 23350 CALL,2742935,886210,209.5,1856725,67736955,,,"periodic record vol=67,736,955 oi=2,742,935 (OI chg +1,856,725 +209.5%)"
2026-06-04 14:18:14,Vol,NIFTY 09 JUN 23300 CALL,5234190,4444960,17.8,789230,76429080,,,"periodic record vol=76,429,080 oi=5,234,190 (OI chg +789,230 +17.8%)"
2026-06-04 14:18:15,Vol,NIFTY 09 JUN 23400 PUT,6761755,3773640,79.2,2988115,143934830,,,"periodic record vol=143,934,830 oi=6,761,755 (OI chg +2,988,115 +79.2%)"
2026-06-04 14:18:17,Vol,NIFTY 09 JUN 23450 PUT,2186145,855920,155.4,1330225,58067295,,,"periodic record vol=58,067,295 oi=2,186,145 (OI chg +1,330,225 +155.4%)"
2026-06-04 14:18:18,Vol,NIFTY 09 JUN 23500 PUT,4571905,4753060,-3.8,-181155,58879535,,,"periodic record vol=58,879,535 oi=4,571,905 (OI chg -181,155 -3.8%)"
2026-06-04 14:18:20,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +363,350 | New PE Vol: +403,650"
2026-06-04 14:19:22,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +573,560 | New PE Vol: +480,545"
2026-06-04 14:20:24,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +723,320 | New PE Vol: +681,655"
2026-06-04 14:21:27,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +900,575 | New PE Vol: +1,005,355"
2026-06-04 14:22:31,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +445,835 | New PE Vol: +595,530"
2026-06-04 14:23:14,Vol,NIFTY 09 JUN 23400 CALL,6799975,2736955,148.5,4063020,146279965,,,"periodic record vol=146,279,965 oi=6,799,975 (OI chg +4,063,020 +148.5%)"
2026-06-04 14:23:16,Vol,NIFTY 09 JUN 23350 CALL,2640170,886210,197.9,1753960,68255395,,,"periodic record vol=68,255,395 oi=2,640,170 (OI chg +1,753,960 +197.9%)"
2026-06-04 14:23:19,Vol,NIFTY 09 JUN 23300 CALL,5199350,4444960,17.0,754390,77001990,,,"periodic record vol=77,001,990 oi=5,199,350 (OI chg +754,390 +17.0%)"
2026-06-04 14:23:22,Vol,NIFTY 09 JUN 23400 PUT,7061990,3773640,87.1,3288350,145974335,,,"periodic record vol=145,974,335 oi=7,061,990 (OI chg +3,288,350 +87.1%)"
2026-06-04 14:23:24,Vol,NIFTY 09 JUN 23450 PUT,2228070,855920,160.3,1372150,58895330,,,"periodic record vol=58,895,330 oi=2,228,070 (OI chg +1,372,150 +160.3%)"
2026-06-04 14:23:27,Vol,NIFTY 09 JUN 23500 PUT,4574180,4753060,-3.8,-178880,59495280,,,"periodic record vol=59,495,280 oi=4,574,180 (OI chg -178,880 -3.8%)"
2026-06-04 14:23:39,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +656,045 | New PE Vol: +1,046,760"
2026-06-04 14:24:44,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +457,275 | New PE Vol: +652,665"
2026-06-04 14:25:48,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +542,360 | New PE Vol: +628,225"
2026-06-04 14:26:53,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +5,189,600 | New PE Vol: -135,838,105"
2026-06-04 14:27:55,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: -3,359,460 | New PE Vol: +137,638,735"
2026-06-04 14:28:17,Vol,NIFTY 09 JUN 23400 CALL,6619340,2736955,141.9,3882385,148190900,,,"periodic record vol=148,190,900 oi=6,619,340 (OI chg +3,882,385 +141.9%)"
2026-06-04 14:28:19,Vol,NIFTY 09 JUN 23350 CALL,2612480,886210,194.8,1726270,68762525,,,"periodic record vol=68,762,525 oi=2,612,480 (OI chg +1,726,270 +194.8%)"
2026-06-04 14:28:21,Vol,NIFTY 09 JUN 23300 CALL,5138835,4444960,15.6,693875,77753260,,,"periodic record vol=77,753,260 oi=5,138,835 (OI chg +693,875 +15.6%)"
2026-06-04 14:28:23,Vol,NIFTY 09 JUN 23400 PUT,6870955,3773640,82.1,3097315,147809740,,,"periodic record vol=147,809,740 oi=6,870,955 (OI chg +3,097,315 +82.1%)"
2026-06-04 14:28:26,Vol,NIFTY 09 JUN 23450 PUT,2261350,855920,164.2,1405430,59935785,,,"periodic record vol=59,935,785 oi=2,261,350 (OI chg +1,405,430 +164.2%)"
2026-06-04 14:28:28,Vol,NIFTY 09 JUN 23500 PUT,4542590,4753060,-4.4,-210470,60219445,,,"periodic record vol=60,219,445 oi=4,542,590 (OI chg -210,470 -4.4%)"
2026-06-04 14:29:01,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +470,210 | New PE Vol: +611,065"
2026-06-04 14:30:05,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +423,345 | New PE Vol: +558,285"
2026-06-04 14:31:06,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +7,000,305 | New PE Vol: -136,303,440"
2026-06-04 14:31:47,Reject,NIFTY 09 JUN 23350 CALL,2412280,2583945,-6.6,-171665,,,BELOW,"OI poll change +6.6% vs last scan (OI chg -171,665 | oi=2,412,280, was=2,583,945)"
2026-06-04 14:32:10,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,943,760 | New PE Vol: +941,525"
2026-06-04 14:33:12,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +712,920 | New PE Vol: +448,955"
2026-06-04 14:33:24,Vol,NIFTY 09 JUN 23450 CALL,3276650,1227070,167.0,2049580,83888675,,,"periodic record vol=83,888,675 oi=3,276,650 (OI chg +2,049,580 +167.0%)"
2026-06-04 14:33:26,Vol,NIFTY 09 JUN 23400 CALL,6401395,2736955,133.9,3664440,151712730,,,"periodic record vol=151,712,730 oi=6,401,395 (OI chg +3,664,440 +133.9%)"
2026-06-04 14:33:27,Vol,NIFTY 09 JUN 23350 CALL,2395640,886210,170.3,1509430,69875910,,,"periodic record vol=69,875,910 oi=2,395,640 (OI chg +1,509,430 +170.3%)"
2026-06-04 14:33:29,Vol,NIFTY 09 JUN 23450 PUT,2432820,855920,184.2,1576900,61672780,,,"periodic record vol=61,672,780 oi=2,432,820 (OI chg +1,576,900 +184.2%)"
2026-06-04 14:33:31,Vol,NIFTY 09 JUN 23500 PUT,4564430,4753060,-4.0,-188630,61674145,,,"periodic record vol=61,674,145 oi=4,564,430 (OI chg -188,630 -4.0%)"
2026-06-04 14:33:33,Vol,NIFTY 09 JUN 23550 PUT,677105,491400,37.8,185705,10886135,,,"periodic record vol=10,886,135 oi=677,105 (OI chg +185,705 +37.8%)"
2026-06-04 14:34:15,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,119,560 | New PE Vol: +606,190"
2026-06-04 14:35:17,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,024,075 | New PE Vol: +654,160"
2026-06-04 14:36:20,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,062,035 | New PE Vol: +580,710"
2026-06-04 14:37:24,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,179,035 | New PE Vol: +446,160"
2026-06-04 14:38:24,Vol,NIFTY 09 JUN 23450 CALL,3165435,1227070,158.0,1938365,85621120,,,"periodic record vol=85,621,120 oi=3,165,435 (OI chg +1,938,365 +158.0%)"
2026-06-04 14:38:27,Vol,NIFTY 09 JUN 23400 CALL,6153225,2736955,124.8,3416270,154413025,,,"periodic record vol=154,413,025 oi=6,153,225 (OI chg +3,416,270 +124.8%)"
2026-06-04 14:38:28,Vol,NIFTY 09 JUN 23350 CALL,2313740,886210,161.1,1427530,70583630,,,"periodic record vol=70,583,630 oi=2,313,740 (OI chg +1,427,530 +161.1%)"
2026-06-04 14:38:30,Vol,NIFTY 09 JUN 23450 PUT,2654730,855920,210.2,1798810,63004500,,,"periodic record vol=63,004,500 oi=2,654,730 (OI chg +1,798,810 +210.2%)"
2026-06-04 14:38:32,Vol,NIFTY 09 JUN 23500 PUT,4769180,4753060,0.3,16120,62648430,,,"periodic record vol=62,648,430 oi=4,769,180 (OI chg +16,120 +0.3%)"
2026-06-04 14:38:34,Vol,NIFTY 09 JUN 23550 PUT,699075,491400,42.3,207675,11070670,,,"periodic record vol=11,070,670 oi=699,075 (OI chg +207,675 +42.3%)"
2026-06-04 14:38:37,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,105,390 | New PE Vol: +406,965"
2026-06-04 14:39:40,Reject,NIFTY 09 JUN 23450 CALL,2931955,3094325,-5.2,-162370,,,BELOW,"OI poll change +5.2% vs last scan (OI chg -162,370 | oi=2,931,955, was=3,094,325)"
2026-06-04 14:39:42,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +2,259,790 | New PE Vol: +1,009,840"
2026-06-04 14:42:59,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +2,561,520 | New PE Vol: +1,917,370"
2026-06-04 14:43:31,Vol,NIFTY 09 JUN 23450 CALL,2970955,1227070,142.1,1743885,87516260,,,"periodic record vol=87,516,260 oi=2,970,955 (OI chg +1,743,885 +142.1%)"
2026-06-04 14:43:34,Vol,NIFTY 09 JUN 23400 CALL,5729685,2736955,109.3,2992730,156865735,,,"periodic record vol=156,865,735 oi=5,729,685 (OI chg +2,992,730 +109.3%)"
2026-06-04 14:43:36,Vol,NIFTY 09 JUN 23350 CALL,2210650,886210,149.4,1324440,71359210,,,"periodic record vol=71,359,210 oi=2,210,650 (OI chg +1,324,440 +149.4%)"
2026-06-04 14:43:38,Vol,NIFTY 09 JUN 23450 PUT,2818335,855920,229.3,1962415,64406940,,,"periodic record vol=64,406,940 oi=2,818,335 (OI chg +1,962,415 +229.3%)"
