trade_id,time_ist,event,symbol,option_type,price,trailing_sl,pnl_rs,pnl_pct,outcome,rsi_3m,rsi_1m,supertrend_3m,supertrend_1m
2026-05-06_110,2026-05-06 11:05:00 IST,BUY PE,NIFTY 6 MAY 24300 PE,PE,154.55,139.1,,,,27.82,23.43,RED,RED
2026-05-06_110,2026-05-06 11:35:00 IST,SL HIT,NIFTY 6 MAY 24300 PE,PE,164.6,165.78,10.05,6.5,SUCCESS,45.69,65.26,RED,GREEN
2026-05-06_180,2026-05-06 12:15:00 IST,BUY PE,NIFTY 6 MAY 24350 PE,PE,162.1,145.89,,,,37.36,29.89,RED,RED
2026-05-06_180,2026-05-06 12:40:00 IST,SL HIT,NIFTY 6 MAY 24350 PE,PE,127.7,164.16,-34.4,-21.22,FAILURE,16.82,39.22,RED,RED
2026-05-06_250,2026-05-06 13:25:00 IST,BUY CE,NIFTY 6 MAY 24350 CE,CE,186.7,168.03,,,,63.62,78.2,GREEN,GREEN
2026-05-06_250,2026-05-06 13:40:00 IST,SL HIT,NIFTY 6 MAY 24350 CE,CE,181.1,181.83,-5.6,-3.0,FAILURE,81.25,73.55,GREEN,GREEN
2026-05-06_266,2026-05-06 13:41:00 IST,BUY CE,NIFTY 6 MAY 24400 CE,CE,157.3,141.57,,,,81.25,77.15,GREEN,GREEN
2026-05-06_266,2026-05-06 14:20:00 IST,SL HIT,NIFTY 6 MAY 24400 CE,CE,157.0,160.79,-0.3,-0.19,FAILURE,78.34,73.27,GREEN,GREEN
2026-05-06_310,2026-05-06 14:25:00 IST,BUY CE,NIFTY 6 MAY 24300 CE,CE,221.75,199.58,,,,90.96,94.2,GREEN,GREEN
2026-05-06_310,2026-05-06 14:50:00 IST,SL HIT,NIFTY 6 MAY 24300 CE,CE,199.25,199.58,-22.5,-10.15,FAILURE,88.71,75.65,GREEN,GREEN
,,,,,,,,,,,,,
SUMMARY,2026-05-06,Total trades: 5,SUCCESS: 1,FAILURE: 4,Win %: 20.0,Failure %: 80.0,BREAKEVEN: 0,Avg PnL %: -5.61,Win 20.0% | Fail 80.0%,,,,
