test_date,symbol,option_type,strike,score_pct,entry_time_ist,exit_time_ist,entry_ltp,exit_ltp,trailing_sl,pnl_pct,outcome,exit_reason
2025-07-11,NIFTY 11 JUL 25400 PE,PE,25400,87.0,10:00:00 IST,10:10:00 IST,175.34,194.7,194.7,11.04,Success,stop_loss_hit
2025-07-11,NIFTY 11 JUL 25350 PE,PE,25350,87.0,10:12:00 IST,10:40:00 IST,158.01,162.05,162.05,2.56,Success,stop_loss_hit
2025-07-11,NIFTY 11 JUL 25300 PE,PE,25300,100.0,10:45:00 IST,12:00:00 IST,175.54,185.15,185.15,5.47,Success,stop_loss_hit
2025-07-11,NIFTY 11 JUL 25050 CE,CE,25050,87.0,12:32:00 IST,13:25:00 IST,212.3,203.65,203.65,-4.07,Failure,stop_loss_hit
