date,trade id,time ist,event,symbol,option_type,price,trailing_sl,rsi,oi,outcome
01-08-25,2025-01-08_67,10:22:00 IST,BUY,NIFTY 8 JAN 23700 PE,PE,173.32,138.66,31.90865199141325,4388775,
01-08-25,2025-01-08_67,11:05:00 IST,SELL,NIFTY 8 JAN 23700 PE,PE,138.66,138.66,42.97738425917156,3889875,Failure
01-08-25,2025-01-08_128,11:23:00 IST,BUY,NIFTY 8 JAN 23800 PE,PE,259.32,207.46,35.810316005561006,1473600,
01-08-25,2025-01-08_128,15:12:00 IST,SELL,NIFTY 8 JAN 23800 PE,PE,279.55,207.46,55.33106570314396,1222350,Success
